mz,time,Control1,Control2,Control3,Control4,Control5,H1N1_1,H1N1_2,H1N1_3,H1N1_4,H1N1_5
243.0816043,233.5205,20.42997198,21.03949845,21.99782475,21.93741239,21.60307337,23.31844268,21.21695014,20.07661786,21.19678078,22.19907191
144.6047886,303.451,17.81272622,15.85067468,19.40167888,21.03428176,18.4235277,20.28258989,21.1390233,18.51828872,20.45863518,17.89170489
166.0575396,207.312,22.42467697,22.81803509,22.44242897,22.23772315,22.262033,21.84426644,22.94336839,22.32598776,22.09724911,22.43066057
136.0763983,236.082,20.5837707,20.66681161,20.37379217,20.46241456,21.21587832,20.67573549,20.62160117,19.47658729,19.89792037,20.97936009
146.1171719,219.104,22.13389043,21.9796854,21.95000025,23.38529599,21.67978565,22.18141956,21.57018338,21.54574396,21.59365158,21.53601308
786.5985173,221.212,28.12513355,27.12251963,27.29243955,25.75239902,28.03723144,26.209599,27.76296057,28.16989067,27.16576219,26.4647896
94.02778956,307.818,26.42192758,26.86926338,26.48434851,28.42917548,27.12251963,22.02800181,26.06327425,26.38841097,26.29735006,28.03723144
132.0803621,200.988,19.50514636,18.75130934,19.32177116,26.11193752,19.57344503,18.78941872,19.75736595,19.6072058,26.48434851,27.13886077
160.1327609,246.148,26.73369243,23.66546343,26.34455361,28.07026569,27.07086169,27.64605823,26.36046025,22.92768879,26.63631834,26.66940462
485.9545286,222.5115,18.47687556,17.59302339,16.980019,21.03252286,20.49918544,21.85662212,11.38277946,15.64191045,15.92662711,21.20487222
722.5096296,164.3965,23.3219282,23.49045877,23.13160468,23.22182505,23.40749981,22.23281343,22.78797572,23.29867991,22.267889,21.86483464
573.4861233,129.175,17.35686751,21.24261286,21.40643779,18.94363901,21.21695014,20.06388415,21.5466804,21.49050998,22.25855994,21.10790688
355.1142486,240.826,22.49259096,23.55601791,22.94765313,22.53570459,22.69370275,22.74385547,22.5108815,23.26422002,22.91167128,22.90134726
158.0024303,468.804,22.46472215,22.473832,22.22621716,22.2031104,22.58895425,21.63614667,22.59201225,22.59201225,22.05357011,21.74563799
812.6046345,216.0435,23.30629263,23.24729006,23.55601791,22.69519704,23.6996721,23.57265865,24.96102359,24.92019411,24.310039,24.16553001
299.952761,171.94,20.56852205,20.65621662,19.28568201,17.62447362,19.01923173,18.3601431,19.65512943,20.02044014,17.98354628,18.94363901
347.063727,257.583,19.92180019,17.44635803,19.07635456,20.8347406,19.5266486,21.36367978,20.35517377,19.91363615,21.74457896,21.33974066
110.0196645,116.568,31.62094138,31.17572086,30.94179201,29.94534393,30.65368842,30.46270168,30.94179201,31.62094138,30.5678731,30.46270168
110.0266861,269.554,24.94045557,25.43048079,25.92727181,26.81373729,26.48434851,27.05658641,25.84848215,24.26378259,25.48240593,27.07086169
225.5577278,110.278,22.85200671,23.07825703,22.53570459,21.8142111,22.78797572,22.92421179,22.55259674,21.38131789,21.36229979,21.87490449
136.0753458,302.071,19.61444296,21.03613867,17.03104106,19.92180019,20.70600582,20.75767312,20.28258989,20.6578345,19.3721732,21.1651416
211.9869266,121.32,24.03853125,23.50884236,23.34173749,22.52480285,22.9917491,22.89038311,23.30629263,23.20537105,22.87526424,22.3759109
309.1661516,171.772,21.25461507,21.21031026,22.30784621,20.28622675,21.42238569,20.40618396,21.57878279,22.11571592,18.53692035,20.81411537
555.2895499,181.001,19.38172025,19.99373228,19.57026569,18.02282779,17.54875894,18.45893258,18.89419511,19.45586068,17.51912291,18.25347993
212.0102221,111.391,22.43194549,22.49678423,21.96246,21.25875327,21.87490449,21.81837447,21.25345845,20.98838601,21.14209562,21.21948464
114.0659105,166.067,23.89207775,23.08747817,22.94579307,22.48088056,22.00156723,21.72877282,22.8613863,23.00649241,21.42508015,21.05803745
175.1476698,35.9814,19.54861496,20.32762841,19.38428553,19.45735302,18.79494144,19.58346701,19.7652176,19.71610156,19.43435391,19.80617388
